id,profileName,text,date,title,rating,images,helpful,Colour,Size,Style Name
R2SMC7H9ZOWZ8J,Aniket Roy,Got a new product in perfect condition. Although the box was a little scratched and didn’t had a plastic wrap made me a little suspicious about the product i received but it was fine on inspection no problem with the device.Really happy with the product love it 👍.Thanks amazon and appario.,Reviewed in India on 6 November 2022,Just bought the ipad pro 11inch model base variant,5,"https://m.media-amazon.com/images/I/71-6MHEo67L.jpg
https://m.media-amazon.com/images/I/718lts-t6WL.jpg",10,,,
R5UCS58LGQR51,Marshal,Worth every penny,Reviewed in India on 20 February 2023,Amazing,5,,3,Space Grey,256 GB,Wi-Fi
R2N7C89KE0744X,Amritanshu Lochan,Not a problem at all. Once you buy it always happy,Reviewed in India on 31 January 2023,Fanstastic ❤️❤️❤️,5,https://m.media-amazon.com/images/I/61BCJEa++EL.jpg,4,Space Grey,256 GB,Wi-Fi
R2IO7W0RKJSNOU,Raees Shaikh,Excellent performance,Reviewed in India on 9 February 2023,Apple ipad pro,5,,2,,,
R2NOW66IRR9JDP,priyaranjan,No match,Reviewed in India on 1 February 2023,Nothing cn match this quality,5,https://m.media-amazon.com/images/I/5129etOQziL.jpg,2,,,
R20JJ6EFNM7E7K,Avinash sharma," I prefer this ipad for gaming and trust me guys this ipad is super smooth,the gaming is so good that i cant even describe it in words and when we talk about cons there is not a single con.",Reviewed in India on 30 November 2022,Just Amazing,5,,16,Silver,128 GB,Wi-Fi
R2MQ411334SBY1,avinash,"Have always dreamed about buying an iPad Pro, can’t keep my eyes off of it.",Reviewed in India on 9 November 2022,Really loving it,5,,5,Silver,128 GB,Wi-Fi
R3KCQYJO7DY37R,WILLS MATHEWS, For legal works,Reviewed in India on 17 January 2023,A masterpiece for all reasons.,5,,8,Space Grey,256 GB,Wi-Fi + Cellular
R2QTNFMTH321VY,Amazon Customer,Bought the ipad for 80k and they delivered the product with damaged display. Called Amazon within 2 hours of delivery and they denied any kind of replacement or return. All they said was this is Apple problem and I need to check with Apple,Reviewed in India on 15 June 2023,Damaged display,1,"https://m.media-amazon.com/images/I/71CEYnrxpIL.jpg
https://m.media-amazon.com/images/I/71bFpRmZxJL.jpg",7,,,
R3U32I6HNH4Z9,Ashwini,If you are buying for gaming and more specifically bgmi then do gour research first. No 90fps option available.,Reviewed in India on 18 June 2023,No 90fps for pubg,1,,1,,,
RYEZKHP0F6E76,Dr Sahil,"As a medical student, everyone aspect of having a tab and i bought this 2 days ago. It's literally out of my expectations, the build quality, the premium look, the screen, the performance and ofc the M2 chip that makes it super special. I highly recommend it and after  u buy there won't be any regrets left",Reviewed in India on 7 July 2023,Do we really need this?,5,https://m.media-amazon.com/images/I/61-DYvY9ZjL.jpg,2,,,
R1FDOQA5GK5ON6,Suvel Bisaws,"The 120 hz pro motion technology is just awesome bros,it is pretty good for professionals but I personally purchased it for bgmi and note taking 🫣",Reviewed in India on 24 May 2023,Very happy with this .... Go for it if you have budget ☺️🥰,5,https://m.media-amazon.com/images/I/51VR5C-9w9L.jpg,2,,,
R30VLJC0375O2M,Harshith Hr,"Hi , everyone trust me I'm a Android user from almost the day one when I had a smartphone ie , in my 9th grade now I'm 27 , all these years it's been fix that , fix this , do that do this on Android, endless pain .... Couldn't use 1 Android device for a year , bought another and another and goes on .... I had not used apple device bec I felt those are not for me it's too costly , was browsing Amazon n saw iPad 9th gen at 30 k n I was let's try that , but I didn't know anything about ios thought a 3gb ram wold suck in 2022 , then I somehow managed to get iPad pro m2 , man my life is ossom , whole day of use not even one issue , been using from 2 months n has no issues everything runs runs runs runs like butter , there is no Android I have used ran for 30 mins without a error n this beast , wow !!!! Runs months , come on years n years I am sure",Reviewed in India on 18 March 2023,Beast Beast Beast !!!! There is no Android that can match this in performance and smoothness,5,,1,,,
RH7LAMJ9E8GIJ,Sambit Koley," My story is kind of amazing. I wanted to buy M1 one but couldn't find it anywhere except on Amazon. But recently when I try to buy that, it said ""Items couldn't be delivered to your location.""!!Tried for 2-3 days. Then I ordered the Ipad M2 on Amazon, but they never delivered it on time. Bad delivery experience.So I finally bought it on Apple Store. Smoothest experience plus an amazing free personalized engraving!This device is a beast. Welcome to a lag free life. I actually use this as a secondary device while I am working and it tackle everything you throw at it.Sound is the department where I am flabbergasted. What an amazing sound exp at the top 70-100% volume! Movies and shows are amazing.Security is also top notch. You can't install an app or use saved passwords without the faceid.Grand purchase.If you can get the M1 variant, you can save 10k. Otherwise, as I said, if you can find it. Otherwise, this is an excellent premium device. Keep it well and this beast will last years.",Reviewed in India on 14 January 2023,Best Ipad if you can afford,5,"https://m.media-amazon.com/images/I/613R3VmUlTL.jpg
https://m.media-amazon.com/images/I/61TA5eKMyKL.jpg
https://m.media-amazon.com/images/I/61jlCYBvbLL.jpg
https://m.media-amazon.com/images/I/71K8SPb67xL.jpg",21,,,
R277GTEWXAZIJW,Hirendra Singh Chauhan,"There is no effective discount available, Unicorn store already selling this since 2 months. Please don’t make them fool. People are not that much fool",Reviewed in India on 6 May 2023,Price,1,,1,,,
R18NMIWIGUNJ0R,Rhutik,Nice product it's so faster as compared to the previous generation ipad pro it's same but M2 chip give more,Reviewed in India on 28 October 2022,Best product,5,"https://m.media-amazon.com/images/I/812bn-U8AjL.jpg
https://m.media-amazon.com/images/I/91+oTMZooBL.jpg",23,Silver,128 GB,Wi-Fi
