"id","profileName","text","date","title","rating","images","helpful","Colour","Size","Style Name","Pattern Name"
"R34DPGERYGZKIJ","Avdhesh Kumar Sharma","Worth of money.  Great experience of Apple with stylus pencil","Reviewed in India on 11 August 2023","Go for it",5,"",0,"Silver","64GB","WiFi","iPad"
"R2D9ZYQI6U2OCO","Best Product under 150","In Freedom sale I got it 25500 .... Value for money... Apple Always Best 👍💯 ❤ Thank you Amazon for this product with offer","Reviewed in India on 7 August 2023","Best product , Base Model",5,"",1,,,,
"RO646539YSAP9","Anil Kumar","Very good for students","Reviewed in India on 14 August 2023","Nice I PAD",5,"",0,,,,
"R1ZRGTIMQUSW2P","Placeholder","Best","Reviewed in India on 17 August 2023","Awesome",5,"",0,,,,
"R1YI00H0IGMNKR","Amazon Customer","Amazing product","Reviewed in India on 15 August 2023","Amazing product",5,"",0,,,,
"R1ONR44VYZNXZ4","Arun","Very good quality as far other Alternative are concerned","Reviewed in India on 10 August 2023","Very good quality",5,"",0,"Silver","64GB","WiFi","iPad"
"R36S3C3MLK4U9X","Amazon Customer","Value for money","Reviewed in India on 21 July 2023","Class of Apple",4,"","6",,,,
"R35LQB6P84VVB6","Akshita jain"," It's the best ipad in this price range. It's perfect  for study.Delivered very safely..thankyou amazon.","Reviewed in India on 20 August 2023","Excellent product!!",5,"https://m.media-amazon.com/images/I/6107EPeQuyL.jpg",0,,,,
"R2DNPV61NAXR0Q","J S Anand","Apple pen/pencil was missing in the package","Reviewed in India on 12 July 2023","Complaint",4,"","21","Silver","64GB","WiFi","iPad"
"R2449IS7C31U6M","Mrinal Kanti Biswas","Disliked no sim card possible.Not usable at all. Hence decided to return.Item not working with sim card, possible only with WiFi, so not useful always. Therefore no alternative but to return it..","Reviewed in India on 12 August 2023","Item not working",3,"https://m.media-amazon.com/images/I/81sIe3lQ6FL.jpg
https://m.media-amazon.com/images/I/81sIe3lQ6FL.jpg",1,"Silver","64GB","WiFi","iPad"
"R3V0U9BU5GCBX2","kuxkunal","Value for money, slim, powerful, no lag, best battery and super competent","Reviewed in India on 28 July 2023","Worth it",5,"","3",,,,
"RW26KFXYGO2OB","Shekhar Nayak","I'm very happy with my purchase, I got the original product and at very good price of 24k.Display is very good , battery lasts long , software experience and security features are top notch also this is my first apple product .Only backdraw is back camera and big bazzels on front .I don't mind it much .Very happy with this purchase 😀","Reviewed in India on 7 May 2023","At 24k this is best I could've asked for.",4,"","9",,,,
"R29Y7J38G5ORPB","Geet panwar "," Heard so many good reviews about the 9th gen ipad..it's better than the 10th gen in so many ways... looking forward to see it's efficiency...it's apple so it always delivers","Reviewed in India on 20 June 2023","Finally it's here",4,"https://m.media-amazon.com/images/I/61KMDgB9mgL.jpg
https://m.media-amazon.com/images/I/714AMqKQaQL.jpg","11",,,,
"R24OEXENKTN5UL","awe_flaw_some","Used summer sale and bought this @ 23400 INR, thats amazing price for this product.It has some shortcomings, for example:-No Type C port-Non- laminated display and thus thak thak sound comes when you interact with display-Bezels presence- Stereo speakers placement is not goodbut hey its the classic iPad design and thats bring some benefits too:-iPadOS is made specifically for tablet and it shows in polishedness and finess and features.-Very long device support, example earliest iPad supported currently is iPad Air 2 launched in 2012, and this is launched in 2021, so support in terms of software updates and repair will be available for far too long-Headphone jack is there-Display repair will be cheap when compared to laminated displays-Sensational battery life-Excellent resale value if you kept the device well, can easily get 40% value after 4 yearsNow I am not going to buy any apple first party accessories, so I dont care how costly those can be. I may buy third party pencil but not sure.My use case is reading comics primarily and for that its perfect, I just need to find a cover which doesnt make iPad heavier. I rarely watch content on mobile devices so may be in travel it can be used.","Reviewed in India on 11 May 2023","Apple device @ 23400 Rs. Bring it on",5,"","14",,,,
"R1YOE992ZWA56","Manish Beniwal","Go for iPad if you want heavy gaming, productivity and long lifetime.If you're buying it for only media consumption don't buy it. Then go for Android ones.That's by my side.","Reviewed in India on 29 July 2023","IPAD >>> any Android in this range",5,"","11",,,,
"R10T2UVEHX0ALN","Saurav Suman","This product is still worth it even in upcoming 2-3 years, this is one of the best purchase of mine","Reviewed in India on 25 July 2023","Brand name in enough for quality of this product",5,"","4","Silver","64GB","WiFi","iPad"
"ROY8Z7R86VDQ3","Shubham Mishra",,"Reviewed in India on 6 August 2023","Best under 30k",5,"https://m.media-amazon.com/images/I/71CMp3kdrML.jpg","4",,,,
"R3E6A2EJDJHTGO","Amazon Customer","One Apollo Pencil could be added.","Reviewed in India on 20 June 2023","Handy and useful",4,"","4",,,,
"R29TTALALFIQGZ","Gobinda N.","One of the best product I’ve used !! Love it ❤️❤️","Reviewed in India on 21 July 2023","Still worthy in 2023",5,"",1,,,,
"R1ZQWW5OFZA0M0","MANGAT RAI","Ok. Good Product","Reviewed in India on 28 July 2023","Ok",5,"","2","Silver","64GB","WiFi","iPad"
"R1FVZFIVOR6U1B","Vanshika ","If you are preparing for competitive exams then this is a must have device ...you can compile notes ,make notes , solve questions directly....one of my best decisions","Reviewed in India on 31 July 2023","Best decision",5,"","11","Silver","64GB","WiFi","iPad"
"R347VU8IKNPOG2","Chaithanya Varma Dantuluri","The ipad is good enough for every day use. The video quality is also very good and much suitable for movie watching. The sound is not loud enough it has to be improved a lot.The camera doesn't work good in low light condition.","Reviewed in India on 15 May 2023","Decent Ipad",4,"https://m.media-amazon.com/images/I/51y2J8Q2CCL.jpg
https://m.media-amazon.com/images/I/61sv+8kNmPL.jpg","7","Silver","64GB","WiFi","iPad"
"R1DV33HHSL381C","Phunkha Boro","It's the best tablet kela set boinaksuda","Reviewed in India on 30 July 2023","Bowkasuda tablet 🤩🤩",5,"","5","Silver","64GB","WiFi","iPad"
"R31A85GGYYMXHK","TARICK CHOWDHURY"," I am working from last 2 month and it's working fine ,and I am satisfied with this ipad 9th generation, you have. More budget i recommend buy 10th gen or more","Reviewed in India on 3 August 2023","Very good for me",5,"","5",,,,
"R35EY49MQEZ5H5","Sudipta Bhattacharya","Extremely value for money. Perfect for study in a budget.","Reviewed in India on 26 July 2023","Apple is Apple",5,"",1,,,,
"R172EMH3MFJ7KM","Amazon Customer","One side heating, otherwise it is a good product","Reviewed in India on 12 August 2023","Camera low",3,"",0,,,,
"R3FIAFP9JZ1E53","phuong"," I have purchased this order on January and I was hyped about the Apple devices there performance, design and software. After 5 days of waiting my order arrived I picked up my order with full of enthusiasm. And all of my happiness went to vain as the shipment box was not properly packed and inside of it there was so much dirt. But I only care about the Ipad which is in okay condition. I turn it on and do all the things which are required to do in the beginning Ipad work fine that day. Then after first day its showed it true color.On the second day it while surfing safari it stops working all together, screen was not responding only spotlight was showing and I was having literal emotion damage because I just got it tomorrow. How searched the quick fix for it and got it (ie force restart). But that problem keep appearing again and again.I decided to replace it. I contacted amazon for it they said you have to contact apple customer care first. I contact apple customer care they said pls first contatct amazon. In this thing they wasted my 5 days(as they also tried to fix by there so called online repair which obviously doesn't work). They reset the device 3 times and done complete update and reset one time. I asked apple customer care executive to replace the product just provide me the ticket number or whatever they said it is not our policy first we do all the necessary steps to repair it and then we will proceed forward since they never detected any hardware problems so they never give damn what there customer was saying and the amazon customer care executive was outstanding he said sir without bringing the ticket we can not help you even though i said every thing. After that update reset device properly fine for straight 1 month I ignored all the things about replacement and return and keep doing work with until one holycrap day ipad screen become unresponsive this time it was onenote. Note: I forget to mention unresponsiveness happen almost with every app which consume internet and I do have a proper wifi connection.Thus again contacted and finally apple customer care executive said you have to come to the service center i asked him to give me the address he asked the pin code of my home town i said and with a smirk on face he said sir you have to go Bhopal as there is no service center are there in you town, my reaction was like a o acha, for this apple crap I have to go 750km away while and leave my exam all together.He said I can understand what you are going through and so on and on. But at the end he reset the device and the problem was still there than they again update reset as I said I will go into the future but now i just need quick fix he said fine now my device working and I am expecting nothing out of it as I know this wonderful piece of apple crap will so its true color soon or later I will provide future update on this product if this review do not get deleted by wonderful seller. Overall apple amazed me from every angle and i decided I don't wanna get amazed and surprised by apple anymore.","Reviewed in India on 16 April 2023","1st and last Apple product",1,"https://m.media-amazon.com/images/I/51r+ED4VgiL.jpg","55",,,,
"R3EKLZF2KO1FO1","Gautam Meena","Its awesome i have never seen in this prize at the offer. Its ruined smoothly and awesome love it","Reviewed in India on 28 July 2023","Awesome",3,"",1,"Silver","64GB","WiFi","iPad"
"R1Y9XNGNTWA78H","Sangeet Raj"," Most affordable apple product and it's quite amazing runs smoothly with 60 fps only , good for multitasking and every kind of work like studying ,notetaking , gaming, editing","Reviewed in India on 24 May 2023","Why u should buy?",4,"","6","Silver","64GB","WiFi","iPad"
"R1EWGQPIHDGXRV","SUMAN","If u are thinking of buying a tablet for studying under 30k segment, this the tablet to go for.✒️ Although the display is non-laminated, it doesn't affect the quality of the display. Neither it degrades the sharpness of it. The only problem due to this may arise only for artists who want to draw or paint in iPad.✒️ The true tone feature is really useful for reading texts as it automatically adjusts screen colour according to the surrounding light availability.✒️ Battery life is just excellent. I do not play games and the Screen on Time is almost 12-14Hours with standby of about 3days.✒️Takes about 3.5hours to charge from 20% to 100%.(20Watt Charger available in box.. such a rare feature nowadays😂)✒️ Being an Apple device it is going to get 3 more years of updates atleast. So tension free for enough times which the Android tablets lack.✒️Last but most importantly, the performance of the iPad 9th generation is way ahead of its Android counterparts. It's animations are so smooth that it doesn't feel like a 60Hz display at all.","Reviewed in India on 20 May 2023","Best Tablet for Students",5,"https://m.media-amazon.com/images/I/61CDBVhgcsL.jpg
https://m.media-amazon.com/images/I/61JF9bYPq6L.jpg
https://m.media-amazon.com/images/I/71-Zh+weZCL.jpg
https://m.media-amazon.com/images/I/71adl6PQCxL.jpg
https://m.media-amazon.com/images/I/71suUqEK-kL.jpg","16",,,,
"R3KMIKH02DM6WF","Shristi R.","iPads are a go to for me.","Reviewed in India on 9 July 2023","Good product",5,"",0,"Silver","64GB","WiFi","iPad"
"R3PT6CRRNJE9QK","Mustaq","Don’t mind about those bezels, you will not even consider them while using. Go for it if your looking for entertainment purpose, and productivity with clean operating system.","Reviewed in India on 11 July 2023","Worth buying for productivity!!",5,"","4",,,,
"RCJNC0AZB39C8","krunal Sonar","After 2+ months of use, tab is good. No issues of course. Working as expected. 5 star for that. Issue is lack of free apps. Many apps are paid….very less apps are free for my kids. Next time I will go with Nokia or Samsung.","Reviewed in India on 15 May 2023","It is good but very less free apps",4,"","2","Silver","64GB","WiFi","iPad"
"R3D6F5SWJ497CY","Captain J544","It has been more than 8 months while using the product.1. Camera Quality: Bad/Not good/won't serve the purpose2. Smoothness: Nice, its working smooth3. Storage: 256 GB ( Go for higher storage else it will get filled in a month. Higher storage is necessary if you are buying it for preparation)4. Pencil will cost you 6k (Check the generation which will be supported by your i-pad before buying.5. Overall, i took it to prepare e-notes and loving it.","Reviewed in India on 30 June 2023","Value Product for Student>Office>Other purpose",5,"","17","Silver","256GB","WiFi","iPad"
"R3EOQVSDTLIAQN","GEORGE","Ok","Reviewed in India on 10 June 2023","Ok",4,"","3","Silver","64GB","WiFi","iPad"
"R4UQUQLJMK568","RAWKERNOVA eSports","it's very good","Reviewed in India on 17 July 2023","got it for 26k",5,"",0,,,,
"R2R20VFF9U9R7Y","ashukumar","This best for student .Good display ,Sound is good.But camera quality not too good,but good for scanning document but it worth it...","Reviewed in India on 21 May 2023","Ipad is best .Smooth function.  No tension .",4,"","4","Silver","256GB","WiFi","iPad"
"R17953NDYQIW4R","sijo","BATTERY PERFORMANCE IS FANTASTIC,GAMING PERFORMANCE ALSO BEST , THIS I PAD CAN HANDLE ANY HIGH GRAPHICS GAME WITHOUT LAG .. NICE WORTH BUYING I PAD 9TH GEN","Reviewed in India on 10 July 2023","MY FIRST APPLE DEVISE",5,"","5",,,,
"R3G6AARTYD8323","SAGAR SINGHA","I always had a dream to buy an Apple🍎 product.This is my first ever Apple product I bought. I got this around 25k with card offer.This product is truly incredible in this price range. No other products can beat this iPad in terms of performance🔥 and quality✨.I have been using this product for almost two weeks,not a single lag I have experienced.You can do any task⚡ seamlessly with this. Still worthwhile in 2023. Don't think twice,just go for it.💯","Reviewed in India on 18 May 2023","Just Amazing 🤩, Loved it😍",5,"https://m.media-amazon.com/images/I/71DCIs2ZGML.jpg
https://m.media-amazon.com/images/I/71zslvKRcHL.jpg","5","Silver","64GB","WiFi","iPad"
"R364T98YPW91V1","MD","Writing this review after 2 weeks if using it. I'm a student and this tablet is great for students as you can do multitasking very easily and when you are reading a PDF file, you can search about a specific word directly from there. If you have an Android phone, it is still a better option as i use telegram to share files. Overall a great product and best under₹30,000","Reviewed in India on 13 May 2023","Apple being Apple",5,"",1,,,,
"R1F70CCDY8S1CN","rathan","It is an excellent device","Reviewed in India on 9 July 2023","Great",5,"",0,,,,
"R36OPXDXW6Y3FW","Amrit"," Amazing product 🤩🤩🤩 i am so happy to get it.","Reviewed in India on 25 July 2023","Ipad 9th generation",5,"https://m.media-amazon.com/images/I/51OGQlONHDL.jpg
https://m.media-amazon.com/images/I/51a61NQxrcL.jpg
https://m.media-amazon.com/images/I/71TjASBkefL.jpg","3",,,,
"R1J0Y9FIEBZXSZ","Ranvir pawar","BEST IPAD EXPERIENCEIpad 9th generation 64 gb","Reviewed in India on 9 July 2023","Best Ipad love it 😍😘🤩🤩 Apple",5,"https://m.media-amazon.com/images/I/71TP2avGw6L.jpg
https://m.media-amazon.com/images/I/71ac-cq4v-L.jpg
https://m.media-amazon.com/images/I/71vIk8aKbCL.jpg
https://m.media-amazon.com/images/I/81c7mPXE28L.jpg
https://m.media-amazon.com/images/I/81k0Y5KL3cL.jpg
https://m.media-amazon.com/images/I/81w+193BmbL.jpg","3","Silver","64GB","WiFi","iPad"
"R26SF7O80BU3FN","Aditya raj","Just go for it","Reviewed in India on 23 May 2023","Best pad overall every thing is nice",4,"",1,,,,
"R1ESSFSGJV5X1M","Anonymous A","The resolution is a joy. For first time apple pencil users, needs some time to get used to writing but once you make an effort, it really drives higher usage. Another plus is the slide-keyboard which makes typing faster versus the traditional keyboard.","Reviewed in India on 21 June 2023","Hard to find any fault with an Apple product!",5,"","3","Silver","64GB","WiFi","iPad"
"R3SQ5IK4G1KJAY","Venkatesh","Nice product, it is very smooth for gaming, and packing is very smooth and nice","Reviewed in India on 22 June 2023","Outstanding product",5,"",0,,,,
"R34BC7YJNHL48I","Does this book contains 2018paper of gate or not please tell me quickly","Nice product delivered by Amazon","Reviewed in India on 28 June 2023","Good product by Amazon",5,"",0,,,,
"RFYDPSFGKLL9X","Md Wakas","Thank you very much for sending the iPad in good condition","Reviewed in India on 30 June 2023","The first Apple device in life is the iPad",5,"https://m.media-amazon.com/images/I/713O01Hn1-L.jpg
https://m.media-amazon.com/images/I/71d847jBOyL.jpg","3",,,,
"R3TCRRJU9W8YM8","RationalMind","Day 1 review : Nothing seems to be wrong with the pen. One of the led is dimmer than the others. Not sure if it's a feature or something wrong. Pen is well balanced and we'll built.Hopefully the pen lasts for a year or two. Will update my review after a year.","Reviewed in India on 11 May 2023","Works as intended.",5,"",1,,,,
"R1FB95SPT8CMWH","AmazonCustomer_1978","Great. Superior Performance and hassle free.","Reviewed in India on 28 June 2023","One of the Best Tablet.",5,"",0,"Silver","64GB","WiFi","iPad"
"RRP1WHOAAPQDQ","NILESH D","A13 does most of the things","Reviewed in India on 24 June 2023","Worth it",5,"",0,,,,
"RA1201NB26BDF","kasi","this is best tablet out there at this price range .. the display and touch cannot be matched by other tabs ..","Reviewed in India on 11 June 2023","Best tablet",5,"",0,,,,
"R3TAN8U12O6GKX","randheer kumar","This is the best product among ipad/tab in this price segment.Happy User","Reviewed in India on 22 June 2023","Best Product",5,"",0,"Silver","64GB","WiFi","iPad"
"R6U39XG433OAD","kirken Angu","Charging problem","Reviewed in India on 29 July 2023","Problem",3,"",0,"Silver","64GB","WiFi","iPad"
"RN4U084MIAPV5","Amazon Customer","Outstanding purchase. Got it at a more moderate price during Summer sale. All said and done there is no comparison to Apple products. Excellent","Reviewed in India on 9 June 2023","Excellent IPAD",5,"",0,,,,
"RP2UY5ACF7FPA","Sriram V.","For people who are casual users and consume mainly content like Hotstar, Netflix etc. with a little productive work like word,excel - my advice is simple, close your eyes and go for this tablet . You will not regret it !!For the price of around 28K there is not a single android tablet that can deliver the performance and overall excellent user experience that the IPad does.I come from the world of android - tv, mobile etc.. everything for more than a decade using android. I never used to understand what the fuss was all about Apple and it’s expensive walled garden ecosystem.Then I got a iPhone 13 and IPad. Initial days was a challenge but later simply fell in love with the entire usage experience of the ios. Everything simply works well, you don’t have to tinker or customise hundred different things. They just work and work very well! Honestly I don’t really care about customising everything including the o/s in android, never had the time or interest. I don’t want to waste time doing things in 10 ways.That’s is where ios excels. Also I have both the oneplus 7 and Samsung tabs. Never was the toggling, browsing or general icon animation this smooth like in IOS. The android tabs are the worst , within a few months irrespective of the ram, chipset etc they start lagging, choppy feel to UI .iPad is just a class apart in how the UI is experienced. Does not matter about refresh rates , RAM , snapdragon blah blah. That’s the best thing about the IPad , you don’t have to worry about the insides or tech specs other than memory, the thing just works and handles anything you throw at it. That is where the real specialty of the closed garden approach of Apple really helps.You don’t have a hundred different companies tinkering and doing hundred different software or hardware combos.Last but not the least, the battery is a beast! Daily 6 hours of screen on time and I have to charge only on the third day for the IPad.Also the display somehow looks and feels better than any android pad. That 264 poi comes into play.","Reviewed in India on 11 April 2022","THE best tablet in this price range!",5,"","2",,,,
"R24ZXGAWTX0CY7","Vijay Kumar Thakur","Apple product no need to say anything","Reviewed in India on 26 June 2023","worth every penny",5,"",1,"Silver","64GB","WiFi","iPad"
"R459MDUY1PM2V","Arjun","I basically bought this one for productivity purposes. Not used for gaming at all. Used for occassional content streaming.Rock solid build quality. Completely made of metal (Aluminium). Fit and finish is top notch as expected from Apple.In the productivity aspects like reading, writing (with the apple pencil), note making, this is truly a gem of a product. Nothing from the Android range will beat this iPad in this price range for sure. Extremely smooth performance in every aspect. No lagging whatsoever when using for multitasking. Great optimization. Excellent display too, easy on the eyes. If you are considering the device for getting important works done, look no further. Go for this one, eyes closed.This product is not made for content consumption. The aspect ratio of the screen is the biggest evidence for this. On streaming content, you get big black bars on the up and down sides of the screen. If you are looking for a tablet exclusively for watching movies, look towards the Samsung Galaxy series.It's a value for money product for sure. Completely satisfied with the performance.","Reviewed in India on 24 December 2022","The best tablet option available under 30,000 without any doubt.",5,"","15","Silver","64GB","WiFi","iPad"
"R34TA12IQ7C2EU","Yasir","Genuine quality","Reviewed in India on 22 June 2023","Fantastic product",5,"",1,,,,
"R3EFOECLNK7LVJ","RITIK roy","It's the best 👍","Reviewed in India on 15 June 2023","iPad is always better than any common tablet",5,"https://m.media-amazon.com/images/I/61ivgkRzvsL.jpg",1,"Silver","64GB","WiFi","iPad"
"R2EKL7Q9ANJ86L","Nanda","Do not go for the newer versions if youre student or an entry level employee. That would be a waste of money","Reviewed in India on 29 March 2023","f your money. This i can say using for 6months is worth every penny in every aspect you pick!",4,"","15",,,,
"R2SUHXJ4ECJA9Y","Karthika ","Nice one..my first apple product..but some problems like , unlike in Android,marrow app don't run in 3 pr 2.5x speed in iPad . WhatsApp can't be installed..and books downloaded in telegram app in iPad can't be opened in Adobe","Reviewed in India on 16 March 2023","Good for learning but some pitfalls are there",4,"","21","Silver","64GB","WiFi","iPad"
"R3LBSXK1O1BSKS","jitendra kumar","Good","Reviewed in India on 18 April 2023","Ipad",4,"","8",,,,
"R30ACIDZI6AHKP","AMAN DEEP","Branding hi kafi hai iske liye, awesome cheej hai is price range me , thoda bhut features k sath toh compromise krna hi pdta hai . Overall must buy thing.","Reviewed in India on 13 March 2023","Good one",4,"","7","Silver","64GB","WiFi","iPad"
"R2XZPWFOE4MR2P","Chandra pal choudhari","Battery backup is best.Camera display sound is bestOperating system is bestMai 9 month chala kr review de rha huOver all best tab ipad.Avi v new ki tarah fine chalta haiipad ki stability bahut acha hai km se km 5 sal tak battery problem nahi ayega update v time to time aata hai.Over all good","Reviewed in India on 21 April 2023","Apple ipad",5,"","8",,,,
"R1IRJVSPNDO5TO","RAHUL SARMA","Product seems to be good. I DONT KNOW WHAT happens after a month or so. Since the apple box doesn't came as I expected. It was sealed but the box looks like it was pressed somehow.","Reviewed in India on 5 May 2023","GOOD PRODUCT BUT POOR BOX QUALITY",5,"https://m.media-amazon.com/images/I/71z2H+TLGJL.jpg","3","Silver","64GB","WiFi","iPad"
"R3G6IVMSIP2NGP","Amazon Customer","Best quality","Reviewed in India on 3 June 2023","Value for money",5,"",0,"Silver","64GB","WiFi","iPad"
"R3FMHWGLI2NF3V","Shivam Srivastava","For a couple of months I was damn skeptical about this iPad, I had mental fight whether I should go for iPad mini 6 or iPad 9th generation. And I wanted to buy higher storage variant but somehow I have to settle with 64gb variant and eventually bought this iPad 9th generation 64gb variant.Some of cons and pros are mentioned below-Pros-1. It's a beast when it comes to performance because of the powerful A13 bionic processor and no android tab can come near to this even below 50-60k.2. It has a great battery which lasts 1.5 days.3. This iPad is supported apple pencil 1st gen and the combination is buttery smooth.4. It also has 3.5 mm jack which no tab offers at this price category.5. A great 10.2 inch display which is very comfortable to hold and the screen size is just perfect.6. It has a crisp and clean speaker.7. It has a solid aluminium build and feels premium to hold.Cons-1. A biggest cons is lightening connector which is not as fast as type c.2. Display is non laminated but it's hard to notice with eyes.3. Speaker placement could have been better as it's only one-sided though it's a stereo speaker and your experience could be better by putting headphones.Conclusion: This is the best iPad at this price category. Go for it without any second thought. Samsung is lagging in so many things such as performance and display because they always offers TFT display which is worst at this price range. Apple always impressed us with their devices.","Reviewed in India on 27 January 2022","Best iPad| value for money",4,"https://m.media-amazon.com/images/I/814e5uU7AAL.jpg
https://m.media-amazon.com/images/I/81LoDyiUhvL.jpg","52","Silver","64GB","WiFi","iPad"
